Major_School,GPA,GRE_Stats,Application Cycle,Status_Date,Status,University
"Chemistry, Montana State University",3.4,GRE 154; GRE V 144; GRE AW 3.50,Fall 2021,Accepted on 4 Jan,Accept, Montana State University
"Chemistry, University Of Minnesota",3.3,GRE 162; GRE V 163; GRE AW 5.00,Fall 2021,Rejected on 11 Jan,Reject, University Of Minnesota
"Chemistry, Duke University",3.84,GRE 166; GRE V 160; GRE AW 6.00,Fall 2021,Accepted on 6 Feb,Accept, Duke University
"Chemistry, Yale University",3.66,GRE 163; GRE V 166; GRE AW 4.50,Fall 2021,Rejected on 5 Feb,Reject, Yale University
"Chemistry, Massachusetts Institute Of Technology (MIT)",3.66,GRE 163; GRE V 166; GRE AW 4.50,Fall 2021,Rejected on 5 Feb,Reject, Massachusetts Institute Of Technology (MIT)
"Chemistry, Northeastern University",3.82,GRE 162; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 5 Feb,Accept, Northeastern University
"Chemistry, Northeastern University",3.82,GRE 162; GRE V 157; GRE AW 4.00,Fall 2021,Other,Reject, Northeastern University
"Chemistry, University Of Michigan (Ann Arbor)",3.93,GRE 157; GRE V 165; GRE AW 5.00,Fall 2021,Rejected on 3 Feb,Reject, University Of Michigan (Ann Arbor)
"Chemistry, Massachusetts Institute Of Technology (MIT)",3.98,GRE 163; GRE V 168; GRE AW 5.50,Fall 2021,Accepted on 3 Feb,Accept, Massachusetts Institute Of Technology (MIT)
"Chemistry, Princeton University",3.66,GRE 163; GRE V 166; GRE AW 4.50,Fall 2021,Rejected on 2 Feb,Reject, Princeton University
"Chemistry, UNC Chapel Hill",3.82,GRE 162; GRE V 157; GRE AW 4.00,Fall 2021,Rejected on 3 Feb,Reject, UNC Chapel Hill
"Chemistry, Princeton University",4.0,GRE 162; GRE V 162; GRE AW 3.50,Fall 2021,Rejected on 2 Feb,Reject, Princeton University
"Chemistry, Massachusetts Institute Of Technology (MIT)",4.0,GRE 165; GRE V 168; GRE AW 5.00,Fall 2021,Accepted on 1 Feb,Accept, Massachusetts Institute Of Technology (MIT)
"Chemistry, University Of Kansas",3.2,GRE 167; GRE V 154; GRE AW 4.00,Fall 2021,Accepted on 28 Jan,Accept, University Of Kansas
"Chemistry, Stanford University",3.82,GRE 162; GRE V 157; GRE AW 4.00,Fall 2021,Rejected on 28 Jan,Reject, Stanford University
"Chemistry, Renssalear Polytechnic Institute (RPI)",3.82,GRE 162; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 27 Jan,Accept, Renssalear Polytechnic Institute (RPI)
"Chemistry, Northwestern University",3.85,GRE 168; GRE V 160; GRE AW 4.00,Fall 2021,Accepted on 28 Dec,Accept, Northwestern University
"Chemistry, Renssalear Polytechnic Institute (RPI)",3.79,GRE 157; GRE V 157; GRE AW 4.00,Fall 2021,Accepted on 28 Jan,Accept, Renssalear Polytechnic Institute (RPI)
"Chemistry, Brown University",3.92,GRE 157; GRE V 165; GRE AW 5.00,Fall 2021,Accepted on 28 Jan,Accept, Brown University
"Chemistry, Stanford University",3.77,GRE 164; GRE V 156; GRE AW 5.50,Fall 2021,Rejected on 28 Jan,Reject, Stanford University
"Chemistry, Stanford University",3.98,GRE 168; GRE V 170; GRE AW 4.50,Fall 2021,Rejected on 28 Jan,Reject, Stanford University
"Chemistry, Vanderbilt University",3.92,GRE 169; GRE V 165; GRE AW 5.00,Fall 2021,Other,Reject, Vanderbilt University
"Chemistry, Stanford University",3.87,GRE 169; GRE V 169; GRE AW 4.50,Fall 2021,Accepted on 26 Jan,Accept, Stanford University
"Chemistry, Harvard University",3.66,GRE 163; GRE V 166; GRE AW 4.50,Fall 2021,Rejected on 26 Jan,Reject, Harvard University
"Chemistry And Chemical Biology, Harvard University",3.92,GRE 169; GRE V 165; GRE AW 5.00,Fall 2021,Rejected on 26 Jan,Reject, Harvard University
