,GRE_Q_V,Status,GPA,GRE_AW
390,,Accepted,3.85,
391,,Rejected,3.99,
392,,Interview,4.00,
393,,Interview,,
394,,Interview,,
395,,Rejected,3.95,
396,,Wait,,
397,,Wait,,
398,,Rejected,3.84,
399,,Interview,,
400,,Interview,,
401,,Accepted,,
402,,Accepted,3.93,
403,,Rejected,3.62,
404,,Rejected,3.62,
405,,Rejected,3.62,
406,,Accepted,3.10,
407,,Interview,3.81,
408,298.0,Accepted,3.90,5.0
409,,Rejected,,
410,,Interview,3.40,
411,,Accepted,3.69,
412,330.0,Accepted,3.70,4.5
413,,Accepted,,
414,329.0,Accepted,3.70,4.0
415,,Rejected,3.70,
416,,Interview,,
417,,Accepted,3.85,
418,,Accepted,,
419,,Accepted,,
420,,Interview,,
421,301.0,Accepted,3.60,3.5
422,,Interview,3.50,
423,,Accepted,,
424,,Accepted,3.60,
425,,Interview,3.87,
426,327.0,Accepted,3.86,4.0
427,327.0,Accepted,3.86,4.0
428,,Interview,,
429,,Interview,,
430,,Interview,,
431,,Interview,,
432,,Accepted,,
433,,Interview,,
434,,Accepted,3.55,
435,,Accepted,,
436,,Accepted,3.75,
437,315.0,Interview,3.90,5.5
438,324.0,Interview,3.50,
439,,Interview,,
440,,Interview,,
441,,Interview,,
442,324.0,Accepted,4.00,5.5
443,337.0,Interview,3.78,5.0
444,,Interview,,
445,329.0,Interview,3.95,4.5
446,,Wait,4.00,
447,,Accepted,,
448,,Interview,,
449,,Accepted,3.86,
450,,Interview,3.82,
451,,Accepted,,
452,,Accepted,3.80,
453,,Accepted,,
454,,Accepted,,
455,,Wait,,
456,,Interview,3.93,
457,,Accepted,,
458,,Rejected,3.93,
459,,Rejected,3.46,
460,,Accepted,4.00,
461,,Accepted,,
462,,Interview,,
463,,Interview,,
464,324.0,Accepted,4.00,4.0
465,,Accepted,,
466,,Accepted,,
467,,Accepted,3.75,
468,,Accepted,,
469,,Interview,3.98,
470,,Accepted,,
471,,Accepted,,
472,,Accepted,3.81,
473,,Rejected,3.81,
474,,Interview,4.00,
475,,Interview,,
476,,Interview,,
477,,Interview,4.00,
478,,Rejected,,
479,,Accepted,,
480,173.0,Accepted,3.77,99.99
481,,Rejected,3.93,
482,,Interview,,
483,,Wait,,
484,,Rejected,3.50,
485,,Rejected,3.97,
486,,Interview,,
487,,Accepted,,
488,,Interview,3.80,
489,,Accepted,3.50,
490,,Interview,3.80,
491,,Interview,,
492,,Wait,,
493,,Accepted,,
494,,Accepted,,
495,,Accepted,3.75,
496,,Interview,,
497,,Rejected,3.92,
498,,Accepted,,
499,,Accepted,,
500,,Interview,3.40,
501,324.0,Accepted,3.40,3.0
502,,Accepted,,
503,,Accepted,3.63,
504,,Interview,,
505,,Interview,,
506,,Accepted,3.50,
507,,Rejected,,
508,,Wait,,
509,,Accepted,,
510,,Rejected,3.83,
511,331.0,Interview,3.91,3.0
512,,Accepted,3.90,
513,,Rejected,3.30,
514,,Interview,,
515,,Rejected,,
516,,Accepted,3.67,
517,,Accepted,3.03,
518,,Accepted,3.84,
519,,Rejected,3.60,
520,,Interview,,
521,,Accepted,,
522,,Interview,3.60,
523,,Wait,,
524,,Rejected,,
525,,Accepted,3.95,
526,,Accepted,3.92,
527,,Accepted,3.60,
528,,Accepted,3.92,
529,,Accepted,3.61,
530,,Rejected,3.86,
531,,Accepted,3.94,
532,,Interview,3.91,
533,,Accepted,,
534,,Accepted,4.00,
535,,Accepted,,
536,,Accepted,,
537,,Accepted,3.98,
538,,Interview,3.96,
539,,Interview,,
540,,Interview,,
541,,Interview,,
542,,Accepted,3.47,
543,323.0,Wait,4.00,4.5
544,,Accepted,4.00,
545,337.0,Accepted,3.90,4.5
546,,Accepted,,
547,,Accepted,,
548,,Wait,,
549,331.0,Accepted,4.00,4.5
550,,Accepted,3.90,
551,,Interview,,
552,,Interview,,
553,,Wait,,
554,331.0,Accepted,3.84,4.5
555,,Interview,3.75,
556,,Rejected,3.83,
557,,Rejected,,
558,,Accepted,4.00,
559,335.0,Accepted,3.97,5.5
560,331.0,Accepted,3.90,
561,,Rejected,4.00,
562,,Accepted,,
563,,Accepted,,
564,,Accepted,,
565,,Accepted,,
566,,Interview,,
567,,Accepted,,
568,320.0,Accepted,3.20,6.0
569,,Rejected,,
570,,Accepted,,
571,,Rejected,3.60,
572,,Wait,,
573,,Interview,3.70,
574,,Accepted,3.88,
575,,Wait,3.80,
576,,Wait,,
577,,Wait,,
578,,Interview,,3.0
579,,Accepted,3.94,
580,,Interview,,
581,,Interview,3.71,
582,,Accepted,,
583,,Interview,,
584,311.0,Interview,3.60,5.0
585,,Accepted,,
586,,Rejected,,
587,,Interview,,
588,,Interview,,
589,,Accepted,4.00,
590,,Accepted,,
591,,Accepted,,
592,,Interview,4.00,
593,,Rejected,3.95,
594,,Accepted,3.95,
595,,Accepted,3.95,
596,,Accepted,3.95,
597,,Accepted,3.95,
598,,Accepted,3.95,
599,,Rejected,,
600,,Interview,3.89,
601,,Wait,,
602,,Interview,,
603,,Accepted,3.87,5.5
604,,Accepted,4.00,
605,,Accepted,,
606,,Accepted,4.00,
607,,Interview,3.87,
608,,Interview,,
609,,Accepted,4.00,
610,,Rejected,,
611,339.0,Accepted,3.99,4.5
612,,Rejected,3.99,
613,,Accepted,3.57,
614,,Interview,3.91,
615,,Accepted,3.40,
616,,Rejected,3.84,
617,,Rejected,,
618,,Rejected,3.20,
619,,Interview,,
620,,Accepted,3.70,
621,,Accepted,4.00,
622,,Rejected,4.00,
623,,Rejected,,
624,,Interview,,
625,327.0,Interview,,5.5
626,,Interview,,
627,,Accepted,,
628,,Accepted,,
629,,Wait,,
630,,Accepted,,
631,,Interview,4.00,
632,166.0,Accepted,3.90,99.99
633,,Interview,3.88,
634,,Interview,3.80,
635,,Accepted,3.92,
636,,Accepted,,
637,,Accepted,,
638,,Interview,,
639,,Rejected,3.82,
640,,Accepted,3.90,
641,,Accepted,3.95,
642,,Accepted,3.95,
643,,Rejected,3.95,
644,,Interview,,
645,,Accepted,,
646,,Accepted,,
647,,Accepted,,
648,,Interview,3.76,
649,,Accepted,,
650,,Accepted,2.75,
651,,Accepted,,
652,,Rejected,,
653,,Rejected,4.00,
654,,Interview,,
655,,Rejected,3.60,
656,,Rejected,3.97,
657,,Rejected,,
658,,Interview,,
659,,Accepted,,
660,,Rejected,,
661,337.0,Accepted,4.00,4.0
662,,Accepted,,
663,,Wait,,
664,,Accepted,3.30,
665,317.0,Rejected,,3.5
666,,Interview,4.00,
667,,Accepted,,
668,,Interview,3.94,
669,,Rejected,,
670,,Accepted,3.39,
671,,Accepted,,
672,311.0,Rejected,3.20,3.0
673,,Interview,,
674,323.0,Accepted,3.85,4.0
675,,Rejected,3.88,
676,,Rejected,3.37,
677,,Accepted,3.66,
678,,Interview,,
679,,Rejected,,
680,325.0,Accepted,3.90,4.0
681,,Rejected,,
682,,Interview,3.10,
683,,Interview,,
684,,Rejected,3.88,
685,,Interview,,
686,,Accepted,3.82,
687,,Rejected,3.61,
688,,Wait,,
689,,Accepted,3.67,
690,329.0,Rejected,3.80,3.5
691,,Wait,3.91,
692,,Interview,,
693,,Accepted,2.30,
694,,Interview,,
695,,Accepted,3.98,
696,316.0,Rejected,,3.0
697,,Accepted,,
698,,Accepted,,
699,,Accepted,3.70,
700,,Rejected,,
701,,Rejected,3.70,
702,,Accepted,,
703,,Accepted,4.17,
704,320.0,Interview,3.70,4.0
705,,Interview,,
706,,Wait,3.94,
707,,Accepted,,
708,,Interview,,
709,,Interview,4.00,
710,,Interview,4.00,
711,,Interview,4.00,
712,,Accepted,4.00,
713,,Accepted,3.81,
714,,Rejected,3.80,
715,,Accepted,3.70,
716,320.0,Rejected,3.57,3.5
717,,Interview,,
718,,Rejected,,
719,,Accepted,,
720,330.0,Rejected,,5.0
721,,Rejected,,
722,,Interview,4.00,
723,,Accepted,3.59,
724,,Wait,3.59,
725,324.0,Interview,4.00,5.5
726,,Accepted,3.74,
727,,Rejected,3.10,
728,,Interview,,
729,,Rejected,3.10,
730,313.0,Rejected,3.02,4.5
731,,Accepted,3.72,
732,,Accepted,3.98,
733,,Accepted,,
734,,Rejected,3.90,
735,,Accepted,4.00,
736,,Interview,3.94,
737,,Accepted,,
738,,Accepted,3.40,
739,,Rejected,,
740,327.0,Rejected,3.74,4.5
741,,Accepted,,
742,,Interview,3.50,
743,315.0,Accepted,4.00,4.0
744,,Accepted,4.00,
745,,Rejected,3.70,
746,,Rejected,,
747,,Accepted,3.59,
748,327.0,Rejected,3.64,3.5
749,,Interview,,
750,,Accepted,,
751,,Accepted,,
752,488.0,Rejected,3.64,4.0
753,,Rejected,,
754,,Rejected,,
755,,Rejected,3.77,
756,,Accepted,3.71,
757,,Interview,4.00,
758,,Accepted,3.95,
759,,Interview,3.97,
